APRO v4.06
Compiler : Delphi 7
Operating System : WinNT 6.2 
Device: COM3
Date/time: 21/06/17, 14:18:36
Time      Type      SubType       Data      OtherData
--------  --------  ------------  --------  ---------
0793.304  Dispatch  ReadCom       00000000  
0793.367  Dispatch  ReadCom       00000000  
0793.430  Dispatch  ReadCom       00000000  
0793.492  Dispatch  ReadCom       00000000  
0793.542  Dispatch  ReadCom       00000000  
0793.602  Dispatch  ReadCom       00000000  
0793.664  Dispatch  ReadCom       00000000  
0793.727  Dispatch  ReadCom       00000000  
0793.789  Dispatch  ReadCom       00000000  
0793.852  Dispatch  ReadCom       00000000  
0793.914  Dispatch  ReadCom       00000000  
0793.977  Dispatch  ReadCom       00000000  
0794.039  Dispatch  ReadCom       00000000  
0794.102  Dispatch  ReadCom       00000000  
0794.165  Dispatch  ReadCom       00000000  
0794.227  Dispatch  ReadCom       00000000  
0794.290  Dispatch  ReadCom       00000000  
0794.352  Dispatch  ReadCom       00000000  
0794.415  Dispatch  ReadCom       00000000  
0794.477  Dispatch  ReadCom       00000000  
0794.540  Dispatch  ReadCom       00000000  
0794.601  Dispatch  ReadCom       00000000  
0794.664  Dispatch  ReadCom       00000000  
0794.726  Dispatch  ReadCom       00000000  
0794.789  Dispatch  ReadCom       00000000  
0794.851  Dispatch  ReadCom       00000000  
0794.914  Dispatch  ReadCom       00000000  
0794.976  Dispatch  ReadCom       00000000  
0795.039  Dispatch  ReadCom       00000000  
0795.103  Dispatch  ReadCom       00000000  
0795.165  Dispatch  ReadCom       00000000  
0795.228  Dispatch  ReadCom       00000000  
0795.290  Dispatch  ReadCom       00000000  
0795.353  Dispatch  ReadCom       00000000  
0795.415  Dispatch  ReadCom       00000000  
0795.478  Dispatch  ReadCom       00000000  
0795.540  Dispatch  ReadCom       00000000  
0795.603  Dispatch  ReadCom       00000000  
0795.665  Dispatch  ReadCom       00000000  
0795.728  Dispatch  ReadCom       00000000  
0795.791  Dispatch  ReadCom       00000000  
0795.853  Dispatch  ReadCom       00000000  
0795.916  Dispatch  ReadCom       00000000  
0795.978  Dispatch  ReadCom       00000000  
0796.041  Dispatch  ReadCom       00000000  
0796.103  Dispatch  ReadCom       00000000  
0796.166  Dispatch  ReadCom       00000000  
0796.228  Dispatch  ReadCom       00000000  
0796.291  Dispatch  ReadCom       00000000  
0796.353  Dispatch  ReadCom       00000000  
0796.416  Dispatch  ReadCom       00000000  
0796.478  Dispatch  ReadCom       00000000  
0796.541  Dispatch  ReadCom       00000000  
0796.603  Dispatch  ReadCom       00000000  
0796.665  Dispatch  ReadCom       00000000  
0796.728  Dispatch  ReadCom       00000000  
0796.790  Dispatch  ReadCom       00000000  
0796.853  Dispatch  ReadCom       00000000  
0796.915  Dispatch  ReadCom       00000000  
0796.978  Dispatch  ReadCom       00000000  
0797.040  Dispatch  ReadCom       00000000  
0797.091  Dispatch  ReadCom       00000000  
0797.151  Dispatch  ReadCom       00000000  
0797.213  Dispatch  ReadCom       00000000  
0797.276  Dispatch  ReadCom       00000000  
0797.338  Dispatch  ReadCom       00000000  
0797.401  Dispatch  ReadCom       00000000  
0797.463  Dispatch  ReadCom       00000000  
0797.526  Dispatch  ReadCom       00000000  
0797.576  Dispatch  ReadCom       00000000  
0797.635  Dispatch  ReadCom       00000000  
0797.698  Dispatch  ReadCom       00000000  
0797.760  Dispatch  ReadCom       00000000  
0797.823  Dispatch  ReadCom       00000000  
0797.885  Dispatch  ReadCom       00000000  
0797.948  Dispatch  ReadCom       00000000  
0798.010  Dispatch  ReadCom       00000000  
0798.073  Dispatch  ReadCom       00000000  
0798.136  Dispatch  ReadCom       00000000  
0798.198  Dispatch  ReadCom       00000000  
0798.261  Dispatch  ReadCom       00000000  
0798.323  Dispatch  ReadCom       00000000  
0798.386  Dispatch  ReadCom       00000000  
0798.448  Dispatch  ReadCom       00000000  
0798.511  Dispatch  ReadCom       00000000  
0798.573  Dispatch  ReadCom       00000000  
0798.636  Dispatch  ReadCom       00000000  
0798.699  Dispatch  ReadCom       00000000  
0798.761  Dispatch  ReadCom       00000000  
0798.824  Dispatch  ReadCom       00000000  
0798.886  Dispatch  ReadCom       00000000  
0798.949  Dispatch  ReadCom       00000000  
0799.012  Dispatch  ReadCom       00000000  
0799.074  Dispatch  ReadCom       00000000  
0799.136  Dispatch  ReadCom       00000000  
0799.199  Dispatch  ReadCom       00000000  
0799.261  Dispatch  ReadCom       00000000  
0799.324  Dispatch  ReadCom       00000000  
0799.386  Dispatch  ReadCom       00000000  
0799.449  Dispatch  ReadCom       00000000  
0799.511  Dispatch  ReadCom       00000000  
0799.574  Dispatch  ReadCom       00000000  
0799.625  Dispatch  ReadCom       00000000  
0799.685  Dispatch  ReadCom       00000000  
0799.747  Dispatch  ReadCom       00000000  
